Date,Content,Label
2017-01-06,gold futures prices trade off session lows,2
2017-01-06,"august gold falls $5.30, or 0.4%, to settle at $1,270.10/oz",2
2017-01-06,gold pulls back as private-sector hiring data up prospects for higher interest rates,0
2017-01-06,buy comex gold at $1250-55/oz,1
2017-01-06,"august gold down $8.50, or 0.7%, at $1,266.90/oz after $1,263.70 low",2
2017-01-06,gold holds on to firm loss after jobless-claims report,2
2017-01-06,gold settles lower as private-sector hiring ups fed rate-hike odds,2
2017-01-07,"agrm expresses concern at 'huge pricing disadvantage' faced by gold refineries, bullion importing banks",1
2017-01-08,gold gains in asia as china caixin manufacturing pmi gains,0
2017-01-08,"gold settles up $6, or 0.5%, at $1,279.40 an ounce",0
2017-01-08,gold steady near 7-week highs on struggling dollar,1
2017-01-08,"gold slides by rs 120 on global cues, fall in demand",2
2017-01-08,gold trades in red in morning trade; silver up,0
2017-01-08,"december gold up 0.4% at $1,278.30/oz.",0
2017-01-08,"december gold 0.1% lower at $1,272.50/oz.",2
2017-01-08,gold prices gain 0.5% for highest settlement in nearly eight weeks,0
2017-01-08,gold dips on profit-taking after touching 7-week high,0
2017-01-08,gold prices to trade positive: angel commodities,0
2017-01-08,gold price chart: find all the latest gold rate chart and news,1
2017-01-08,gold adds to early gains after ism manufacturing report,0
2017-01-08,expect gold to trade sideways: sushil finance,1
2017-01-08,gold settles at nearly 8-week high,0
2017-01-08,"gold little changed after spending, income, inflation reports",1
2017-01-09,gold prices move 2.5% higher for the week,0
2017-01-09,expect gold to trade sideways: sushil finance,1
2017-01-09,gold futures up after friday jobs report,0
2017-01-09,"gold edges lower, but n.korea worries lend support",2
2017-01-09,gold jumps after jobs report comes in weaker than expected,0
2017-01-09,gold trades flat in morning deals; silver down,2
2017-01-09,"december gold rises 0.9% at $1,333.50/oz.",0
2017-01-09,"gold scores weekly gain of 2.5%, after strongest month since january",0
2017-01-09,"quoting bond villain, new gold etf takes aim at rivals on fees",1
2017-01-09,"quoting bond villain, new gold etf takes aim at rivals on fees",1
2017-01-09,"gold edges lower, but n.korea worries lend support",2
2017-01-09,gold rate today: track gold price in india and market outlook,1
2017-01-09,"dec. gold gains $8.20, or 0.6%, to settle at $1,330.40/oz",0
2017-01-09,"gold prices climb 2.5% for the week, settle at highest since late september",0
2017-01-11,gold prices to trade lower: angel commodities,2
2017-01-11,"gold prices rise 0.5% to $1,276.70 an ounce",0
2017-01-11,gold dips as dollar gains ahead of fed statement,2
2017-01-11,"gold settles higher, then pares in electronic trade after fed statement",0
2017-01-11,"dec. gold climbs by $5.40, or 0.4%, to $1,275.90/oz",0
2017-01-11,gold edges higher; fed statement in focus,0
2017-01-11,"gold rate today: gold, silver trade lower in morning trade",2
2017-01-11,barrick gold stock price target cut to $18 from $21 at rbc capital,1
2017-01-11,"dec. gold at $1,279.40/oz in electronic trade, up from $1,277.30 settlement",0
2017-01-11,gold prices rise from comex settlement after fed statement,0
2017-01-11,gold prices finish higher ahead of fed policy statement,0
2017-01-11,"dec. gold gains $6.80, or 0.5%, to settle at $1,277.30/oz",0
2017-01-11,gold prices extend earlier gains after u.s. ism manufacturing data,0
2017-01-11,"gold settles higher, extends gains in electronic trading after fed statement",0
2017-01-11,barrick gold downgraded to sector perform from outperform at rbc capital,1
2017-01-11,gold holds gain after adp private-sector jobs report,0
2017-01-11,gold traders find another route to offset duty,1
2017-01-11,"december gold rises 0.5% at $1,276/oz.",0
2017-01-11,gold dips as dollar gains ahead of fed statement,2
2017-01-12,"gold rate today: gold, silver up in morning trade",0
2017-01-12,turkish gold trader implicates erdogan in iran money laundering,1
2017-01-12,gold holds near 3-1/2 week low as investors opt for riskier assets,2
2017-01-12,"feb. gold gains $14.90, or 1.2%, to $1,291.50/oz",0
2017-01-12,gold inches up on weaker dollar; improved risk appetite weighs,0
2017-01-12,feb. gold contract ends with a weekly loss of roughly 0.7%,2
2017-01-12,commerce secretary for reviewing import duty on gold,1
2017-01-12,gold holds near 3-1/2 week low as investors opt for riskier assets,2
2017-01-12,gold inches up on weaker dollar; improved risk appetite weighs,0
2017-01-12,gold prices edges higher as u.s. dollar softens,0
2017-01-12,commerce secretary for review of import duty on gold,1
2017-01-12,gold prices rip higher following rpts former trump nat. sec. advisor cooperating with special prosecutor,0
2017-01-12,"gold cuts losses for the week as political concerns roil the u.s. dollar, stocks",2
2017-01-12,gold prices rally in late morning dealings as u.s. dollar weakens,0
2017-01-12,"feb. gold settles at $1,282.30/oz, up $5.60, or 0.4%",0
2017-01-12,gold prices edges higher as u.s. dollar softens,0
2017-01-12,"gold prices finish higher, but still logs a second-straight weekly loss",0
2017-01-13,alamos gold downgraded to neutral from outperform at credit suisse,1
2017-01-13,how much income tax you should pay on investments in gold?,1
2017-01-13,yamana gold downgraded to neutral from outperform at credit suisse,1
2017-01-13,"gold falls for the session, but gains about 2% on week",0
2017-01-13,forex reserves down by more than $1bn due to revaluation of gold reserves,2
2017-01-13,gold futures gain roughly 1.9% for the week,0
2017-01-13,"feb. gold settles at $1,196.20/oz, down $3.60, or 0.3%",2
2017-01-13,"gold hits 6-week high of rs 29,450 on global cues",0
2017-01-13,gold futures end the week with a gain of about 1.9%,0
2017-01-13,"gold extends early, modest losses after economic data, off $2.30, or 0.2%, at $1,197.60/oz.",2
2017-01-14,gold falls by rs 100 on weak demand; silver recovers,2
2017-01-16,gold rises to 8-week high as traders focus on trump and brexit,0
2017-01-17,outlook stays bullish for gold,0
2017-01-17,gold's lustrous rise in 2017 may be best sign trump rally is fading,0
2017-01-17,"feb. gold settles at $1,212.90/oz, up $16.70, or 1.4%",0
2017-01-17,"gold trades higher on safe-haven demand; rs 28,650 key resistance",0
2017-01-17,gold futures finish at a 2-month high,0
2017-01-17,"gold extends gains, up $21.70, or 1.8%, to $1,217.80 an ounce",0
2017-01-17,"gold gains $16.50, or 1.4%, at $1,212.80/oz.",0
2017-01-17,"gold settles at 2-month high on brexit, trump jitters",0
2017-01-17,gold holds strong gains after empire state report,0
2017-01-17,gold to trade in 28372-28686 range: achiievers equities,1
2017-01-17,gold futures mark highest finish in about 2 months,0
2017-01-18,this gold play's breakout looks enticing as trump swats at the dollar,1
2017-01-18,gold futures finish with a modest loss as the dollar strengthens,2
2017-01-18,gold prices could soar if donald trump says any one of these five things,0
2017-01-18,"feb. gold down 80 cents, or less than 0.1%, to settle at $1,212.10/oz",2
2017-01-18,gold futures post modest loss as dollar strengthens,2
2017-01-18,gold turns slightly positive after consumer-price data,0
2017-01-18,gold slips from a 2-month high as the dollar stages a rebound,2
2017-01-18,this gold play's breakout looks enticing as trump swats at the dollar,1
2017-01-18,gold prices could soar if donald trump says any one of these five things,0
2017-01-18,"february gold up 50 cents, or less than 0.1%, at $1,212.50/oz.",0
2017-01-19,gold holds losses after ecb decision,2
2017-01-19,gold under pressure as fed's yellen backs gradual rate hikes,2
2017-01-19,"gold futures decline to rs 28,615 per 10 gm",2
2017-01-19,silver falls on reduced offtake; gold holds steady,1
2017-01-19,"february gold slumped $9, or 0.7%, at $1,203/oz.",2
2017-01-19,"gold logs biggest one-day loss of the month, but holds above $1,200",2
2017-01-19,"gold futures log biggest one-day loss of the year, but hold above $1,200 an ounce",2
2017-01-19,"feb. gold settles at $1,201.50/oz, down $10.60, or 0.9%",2
2017-01-19,"gold futures remain down around 0.7% at $1,203.20/oz after ecb holds on rates",2
2017-01-20,"gold eyes trump, heads for fourth week of gains",0
2017-01-20,how gold tends to perform in presidential inauguration years,1
2017-01-20,"feb. gold settles at $1,204.90/oz, up $3.40, or 0.3%",0
2017-01-20,gold tallies 4th weekly gain in a row as trump takes oath of office,0
2017-01-20,gold futures post gain of about 0.7% for the week,0
2017-01-20,gold futures gain 0.7% for the week,0
2017-01-23,"feb. gold gains $10.70, or 0.9%, to settle at $1,215.60/oz",0
2017-01-23,"gold futures jump to rs 28,825 on firm global cues",0
2017-01-23,gold futures log highest settlement since nov. 17,0
2017-01-23,gold ends near 10-week high in trump era as dollar wobbles,0
2017-01-23,will budget transform india from price taker to price setter in the gold market,1
2017-01-24,forget gold this year! demand for yellow metal may return only in 2018,1
2017-01-24,gold retreats after notching nearly 10-week high,0
2017-01-24,gold futures settle lower after two-session climb,2
2017-01-24,gold prices ease as dollar recovers from 7-week low,2
2017-01-24,gold futures settle lower after two-session climb,2
2017-01-24,world bank forecasts 2017 average oil price of $55; gold prices set for 8% fall this year,2
2017-01-25,gold futures settle at a nearly two-week low,2
2017-01-25,gold futures settle at a nearly two-week low,2
2017-01-25,gold ends at a nearly 2-week low as u.s. stock indexes trade in record territory,2
2017-01-25,gold futures mark lowest settlement since jan. 13,2
2017-01-25,"gold plunges to rs 29,550; silver falls to rs 41,500",2
2017-01-25,"feb. gold loses $13, or 1.1%, to finish at $1,197.80/oz",2
2017-01-25,"antofagasta copper, gold production rises",1
2017-01-26,"feb. gold settles at $1,189.80/oz, down $8, or 0.7%",2
2017-01-26,gold ends at lowest level in over 2 weeks as dollar strengthens,2
2017-01-26,gold futures mark lowest finish since jan. 10,2
2017-01-26,"february gold off $8.30, or 0.7%, at $1,189.50/oz.",2
2017-01-26,gold holds losses after jobless-claims report,2
2017-01-26,gold ends at lowest level in over 2 weeks as dollar strengthens,2
2017-01-27,gold futures on comex lose roughly 1.4% for the week,2
2017-01-27,gold futures edge down for the day to finish 1.4% lower for the week,2
2017-01-27,gold's 4th-straight drop sends metal down 1.4% for the week,2
2017-01-27,gold pares loss after gdp reading,2
2017-01-27,gold futures edge down for the day to finish 1.4% lower for the week,2
2017-01-27,"april gold loses $1.40, or 0.1%, to finish at $1,191.10/oz",2
2017-01-27,"february gold down $4, or 0.3%, at $1,185.80/oz.",2
2017-01-27,"feb. gold settles at $1,188.40/oz, down $1.40, or 0.1%",2
2017-01-29,gold / silver / copper futures - weekly outlook: january 30 - february 3,1
2017-01-29,gold / silver / copper futures - weekly outlook: january 30 - february 3,1
2017-01-29,gold prices gain in asia as trump travel policy noted,0
2017-01-29,gold prices gain in asia as trump travel policy noted,0
2017-01-29,time to come out with comprehensive gold policy: y v reddy,1
2017-01-30,"gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",0
2017-01-30,gold futures gain for the first time in 5 sessions,0
2017-01-30,gold futures end higher after four consecutive sessions of losses,0
2017-01-30,"gold marks first gain in 5 sessions as dow sinks below 20,000",0
2017-01-30,"april gold climbs $4.90, or 0.4%, to settle at $1,196/oz",0
2017-01-30,"gold marks first gain in 5 sessions as dow sinks below 20,000",0
2017-01-30,biggest gold etf gets a sequel that removes dollar headwind,1
2017-01-31,gold futures finish at highest level in more than a week,0
2017-01-31,"april gold climbs $15.40, or 1.3%, to settle at $1,211.40/oz",0
2017-01-31,gold futures score best monthly gain since june,0
2017-01-31,gold futures mark largest monthly gain since june,0
2017-01-31,"april gold climbs $15.40, or 1.3%, to settle at $1,211.40/oz",0
2017-01-31,gold rises as trump policy fuels safe haven demand,0
2017-01-31,gold futures climb more than 5% for the month,0
2017-01-31,"april gold climbs $20.20, or 1.7%, to $1,216.20/oz after $1,217.40 high",0
2017-01-31,"gold futures hit highs above $1,217/oz as the u.s. dollar and equities decline",0
2017-01-31,gold to trade in 28249-28697 range: achiievers equities,1
2017-02-01,gold to trade in 27287-27713 range: achiievers equities,1
2017-02-02,gold marks highest finish since mid-november,0
2017-02-02,gold to trade in 28357-29129 range: achiievers equities,1
2017-02-02,gold futures log highest settlement since mid-november,0
2017-02-02,"april gold gains $11.10, or 0.9%, to settle at $1,219.40/oz",0
2017-02-02,gold rises as fed keeps us interest rates steady,0
2017-02-02,"gold on track to hit 12-week high, up 1.5% at 1,226.50/oz.",0
2017-02-03,gold at 1-week lows as dollar inches higher,2
2017-02-03,"silver recaptures rs 44,000-mark; gold holds steady",0
2017-02-03,have a question about gold? ask the author of 'precious metals investing for dummies' now,1
2017-02-03,gold books biggest one-day loss of 2017,2
2017-02-03,gold futures mark lowest settlement since mid-february,2
2017-02-03,gold holds losses after initial-jobless claims report,2
2017-02-03,"april gold off $11.80, or 0.9%, at 1,238.60/oz.",2
2017-02-03,gold prices finish at lowest level in over 2 weeks,2
2017-02-03,"april gold drops $17.10, or 1.4%, to settle at $1,232.90/oz",2
2017-02-05,"gold ends higher, shakes off 3-week lows as investors await fed meeting outcome",0
2017-02-05,"gold ends higher, shakes off 3-week lows as investors await fed meeting outcome",0
2017-02-05,"june gold edges up by $1.50, or 0.1%, to settle at $1,257/oz",0
2017-02-05,world's biggest gold miner etf sees record outflows,1
2017-02-05,gold ends slightly higher following a recent drop to three-week lows,0
2017-02-06,gold sees highest close since april after weak jobs report,0
2017-02-06,"august gold edges slightly higher at $1,271.50/oz, up 0.1%",0
2017-02-06,"august gold climbs $10.10, or 0.8%, to settle at $1,280.20/oz",0
2017-02-06,gold pivots higher after weaker-than-expected jobs report,0
2017-02-06,gold prices gain roughly 1% for the week,0
2017-02-06,"gold settles at 6-week high, up about 1% for the week",0
2017-02-06,gold sees highest close since april after weak jobs report,0
2017-02-08,gold prices to trade positive: angel commodities,0
2017-02-08,gold holds near 7-week high on weak us economic data,0
2017-02-08,gold settles lower as caution over the fed caps upside,2
2017-02-08,gold rate today: track gold price in india and market outlook,1
2017-02-08,expect gold to trade negative: sushil finance,2
2017-02-08,"december gold down 0.5% at $1,273/oz.",2
2017-02-08,gold bucks weak u.s. dollar to settle marginally lower,2
2017-02-08,gold holds modest loss after adp report,2
2017-02-08,gold bucks weak u.s. dollar to settle marginally lower,2
2017-02-08,gold edges away from 7-week high as dollar steadies,2
2017-02-08,gold trades higher in morning trade; silver down,2
2017-02-08,"gold edges down $1 to settle at $1,278.40 an ounce",2
2017-02-08,gold dips in asia as dollar fortunes eyed ahead of us jobs data,2
2017-02-10,"gold settles at a nearly 2-month low as dollar, equities strengthen",2
2017-02-10,"dec. gold falls $9, or 0.7%, to settle at $1,275.80/oz",2
2017-02-10,gold prices mark lowest finish in nearly 8 weeks,2
2017-02-10,"dec. gold falls $9, or 0.7%, to settle at $1,275.80/oz",2
2017-02-10,"gold drops to lowest in nearly 7 weeks; stronger dollar, equities drag",2
2017-02-10,"gold drops to lowest in nearly 7 weeks; stronger dollar, equities drag",2
2017-02-10,gold prices settle at lowest level in nearly 8 weeks,2
2017-02-10,gold prices settle at lowest level in nearly 8 weeks,2
2017-02-11,gold adds to slight loss after bank of england lifts interest rates for first time in 10 years,2
2017-02-11,"gold prices little changed, all eyes on fed pick",1
2017-02-11,gold rate today: gold futures rise 0.22% on fresh bets,0
2017-02-11,gold adds to slight loss after economic reports,1
2017-02-11,gold prices moves lower an hour ahead of comex settlement,2
2017-02-11,"dec. gold down $1.10, or 0.1%, to $1,276.20/oz",2
2017-02-11,"december gold trades 0.2% lower at $1,275.30/oz.",2
2017-02-11,"december gold trades 0.1% lower at $1,275.80/oz.",2
2017-02-11,gold prices to trade sideways: angel commodities,1
2017-02-11,"dec. gold edges up by 80 cents to settle at $1,278.10/oz",0
2017-02-11,gold hits 1-week high; fed chair pick in focus,0
2017-02-11,"gold ends with a minor gain, up four sessions in five",0
2017-02-13,gold futures mark biggest one-day loss in 2 1/2 weeks,2
2017-02-13,gold suffers from largest one-day loss of the month,2
2017-02-13,gold suffers from biggest single-day dollar and percentage loss since jan. 25,2
2017-02-13,"april gold falls $10.10, or 0.8%, to settle at $1,225.80/oz",2
2017-02-13,gold to trade in 28822-29380 range: achiievers equities,1
2017-02-14,"gold tumbles by rs 300 on weak global cues, fall in demand",2
2017-02-14,"april gold up $8.20, or 0.7%, at $1,234.20/oz.",0
2017-02-14,"april gold trades at $1,223.60 /oz, down $2.20, or 0.2%",2
2017-02-14,"april gold up 40 cents at $1,226.20/oz after $1,236 high",0
2017-02-14,gold futures pare gains as traders weigh comments from fed officials,0
2017-02-14,gold holds early gains after ppi report,0
2017-02-14,"april gold settles little changed, down 40 cents at $1,225.40/oz",2
2017-02-14,gold futures off session highs as traders weigh yellen's remarks,2
2017-02-14,gold ekes out a loss to tally fourth straight session decline,2
2017-02-14,gold futures eke out a loss to stretch declines to a 4th session in a row,2
2017-02-14,"april gold trades at $1,223.60 /oz, down $2.20, or 0.2%",2
2017-02-14,gold futures pare gains as traders weigh comments from fed officials,0
2017-02-15,"april gold climbs $7.70, or 0.6%, to settle at $1,233.10/oz",0
2017-02-15,gold prices snap a 4-session skid,0
2017-02-15,gold futures score first gain in 5 sessions,0
2017-02-15,gold futures slip into the red after economic data,2
2017-02-15,"gold off $3.30, or 0.3%, at $1,222.20/oz., was trading flat ahead of data",2
2017-02-15,gold prices snap a 4-session skid,0
2017-02-15,gold futures rebound from a 4-session decline,0
2017-02-16,gold futures finish at a more than 3-month high,0
2017-02-16,gold trades higher on soft dollar; likely to remain volatile in near term,0
2017-02-16,gold futures mark highest settlement since nov. 10,0
2017-02-16,gold holds modest gains after string of data,0
2017-02-16,dollar slide sends gold futures higher,0
2017-02-16,gold rises as dollar gives up gains; fed rate hike in focus,0
2017-02-16,"april gold settles at $1,241.60/oz, up $8.50, or 0.7%",0
2017-02-16,"gold adds $4.40, or 0.4%, at $1,237.50/oz.",0
2017-02-16,gold futures up by rs 91 on firm global cues,0
2017-02-16,"gold fields swings to profit, lifts dividend",1
2017-02-16,gold notches highest finish in more than 3 months,0
2017-02-17,"gold ends lower, but tallies a third-weekly gain",0
2017-02-17,"gold prices fall the day, but post a third straight weekly gain",0
2017-02-17,"gold steady on weaker dollar, set for 3rd week of gains",0
2017-02-17,"gold futures down for the session, but gain 0.3% for the week",0
2017-02-17,"april gold falls $2.50, or 0.2%, to settle at $1,239.10/oz",2
2017-02-21,gold shakes off dollar strength to finish flat amid geopolitical hand-wringing,1
2017-02-21,gold pares firm loss to trade at break-even levels as stocks pare gains in afternoon trade,0
2017-02-21,"april gold trades off 70 cents, or less than 0.1%, at $1,238.10.oz.",2
2017-02-21,"gold reverses course to finish flat, shaking off stronger dollar",1
2017-02-21,"gold finishes near break-even at $1,238.90/oz., off 20 cents or less than 0.1%",1
2017-02-21,"gold, silver trade lower in early trade on profit booking",2
2017-02-21,"profit-taking, weak global cues pull gold futures down to rs 29,210",2
2017-02-22,gold up in asia despite fed minutes showing rate hike in play,0
2017-02-22,"gold settles down $5.60, or 0.5%, at $1,233.30 an ounce",2
2017-02-22,gold steady as investors look for rate hike clues from fed,1
2017-02-22,"gold jumps 0.3% from settlement price after fed minutes to $1,237.40 an ounce",0
2017-02-22,gold prices get post-settlement boost after fed minutes,0
2017-02-22,gold settles 0.5% lower ahead of fomc minutes as dollar gains,2
2017-02-22,"gold jumps 0.3% from settlement price after fed minutes to $1,237.40 an ounce",0
2017-02-23,"april gold rises $18.10, or 1.5%, to settle at $1,251.40/oz",0
2017-02-23,gold ends at 3-month high as dollar wobbles,0
2017-02-23,"gold drifts lower in asia as fed, muchin views weighed",2
2017-02-23,"gold gains after jobless claims to trade around a 15-week high at $1,248.10, up 1.2%",0
2017-02-23,gold gains to settle at 3-month high as dollar softens,0
2017-02-23,"gold recovers to rs 29,850 on global cues, jewellers' demand",0
2017-02-24,gold scores 4th straight weekly gain as dollar struggles,0
2017-02-24,gold futures eye fourth consecutive week of gains,0
2017-02-24,"gold settles up $6.90, or 0.6%, at $1,258.30 an ounce for 1.6% weekly gain",0
2017-02-24,gold climbs for 4th straight week as dollar softens,0
2017-02-24,gold prices score 4th week of gains,0
2017-02-26,gold / silver / copper futures - weekly outlook: february 27 - march 3,1
2017-02-26,"gold prices gain slightly in asia as fed, trump eyed",0
2017-02-27,gold holds near 3-1/2 month high; trump's economic policy in focus,1
2017-02-27,gold pares gains as dollar bounces off session lows,0
2017-02-27,sovereign gold bonds open; 10 things you must know before investing in them,1
2017-02-27,gold edges up for a third straight session,0
2017-02-27,"april gold edges up by 50 cents to settle at $1,258.80/oz",0
2017-02-27,gold prices eke out 3rd gain in a row,0
2017-02-27,gold pares gains as dollar bounces off session lows,0
2017-02-27,gold to trade in 29456-29732 range: achiievers equities,1
2017-02-28,"april gold down 20 cents to trade at $1,258.60/oz",2
2017-02-28,"april gold off $3.90, or 0.3%, at $1,255.40/oz.",2
2017-02-28,"gold prices fall for the day, but post a second straight monthly gain",0
2017-02-28,gold futures pare loss as ice u.s. dollar index falls to session lows,2
2017-02-28,gold futures gain roughly 3.5% for the month,0
2017-02-28,"gold prices end lower, but tally a second straight monthly gain",0
2017-02-28,"gold prices end lower, but tally a second straight monthly gain",0
2017-02-28,"gold, silver trade lower ahead of donald trump speech",2
2017-02-28,"april gold falls $4.90, or 0.4%, for the session to settle at $1,253.90/oz",2
2017-02-28,gold little-changed after data,1
2017-02-28,gold ticks lower; trump's speech in focus,2
2017-03-01,gold edges up despite firm dollar,0
2017-03-01,"feb. gold gains $10.30, or 0.9%, to settle at $1,162/oz",0
2017-03-01,gold starts 2017 on positive note,0
2017-03-01,gold futures move lower after data show rise in dec. u.s. ism index,2
2017-03-01,"feb. gold falls $1.20, or 0.1%, to $1,150.50/oz",2
2017-03-01,gold to trade in 27325-27723 range: achiievers equities,1
2017-03-01,gold futures settle at a nearly three-week high,0
2017-03-01,gold futures settle at a nearly three-week high,0
2017-03-01,gold prices settle at a nearly 3-week high,0
2017-03-01,"feb. gold gains $10.30, or 0.9%, to settle at $1,162/oz",0
2017-03-02,"gold settles higher, notches best weekly gain since june",0
2017-03-02,"gold ends higher, books best weekly gain in seven months",0
2017-03-02,"gold pares loss after jobs report, off $2.60, or 0.3%, $1,215.30/oz.",2
2017-03-02,"april gold finishes modestly higher, up $1.40, or 0.1%, at 1,220.80/oz.",0
2017-03-02,gold to trade in 28670-29160 range: achiievers equities,1
2017-03-02,global gold investment demand for 2016 hit highest level in 4 years: report,0
2017-03-02,gold logs 2.5% weekly rise,0
2017-03-03,"gold prices fall for the day, lose 2.5% for the week",2
2017-03-03,has bitcoin matched gold's status? one expert weighs in,1
2017-03-03,expect indian gold demand to pickup in 2017: wgc,1
2017-03-03,"gold ends with a loss, prices suffer weekly drop of 2.5%",2
2017-03-03,gold heading for worst week since november on rate hike worries,2
2017-03-03,"april gold settles at $1,226.50/oz, down 0.5% for the day, 2.5% lower for the week",2
2017-03-03,gold to trade in 28966-29524 range: achiievers equities,1
2017-03-03,bitcoin is now worth more than an ounce of gold for the first time ever,1
2017-03-03,"gold ends with a loss, prices suffer weekly drop of 2.5%",2
2017-03-03,gold ends lower as yellen says interest-rate hike is likely at next fed meeting,2
2017-03-04,gold settles modestly higher as stocks stage retreat,0
2017-03-04,"gold prices firm, buoyed by tepid us economic data",1
2017-03-04,"june gold gains $2.80, or 0.2%, to finish at $1,254/oz.",0
2017-03-04,"gold inches up to rs 29,270; silver slips to rs 42,400 per kg",0
2017-03-04,gold settles higher to kick of second-quarter trade,0
2017-03-04,gold logs second straight gain as u.s. ism data disappoint,0
2017-03-04,"june gold gains $2.80, or 0.2%, to finish at $1,254/oz.",0
2017-03-05,kinross gold upgraded to outperformer from neutral at cibc,1
2017-03-05,"gold ends at 1-month low, edges up in electronic trade after fed statement",0
2017-03-05,"june gold down 0.2% at $1,254/oz.",2
2017-03-05,gold price: find all the latest trends and news about the yellow metal,1
2017-03-05,gold logs lowest finish in a month-adds to drop as fed points to rate hikes,2
2017-03-05,"june gold at $1,251.40/oz in electronic trade, up from $1,248.50 settlement",0
2017-03-05,gold futures mark lowest settlement since april 5,2
2017-03-05,gold futures edge up from settlement level after fed announcement,0
2017-03-05,why now may be a good time to buy gold and silver,1
2017-03-05,gold lower after adp payrolls-report,2
2017-03-05,gold logs lowest finish in a month-adds to drop as fed points to rate hikes,2
2017-03-05,"june gold falls $8.50, or 0.7%, to settle at $1,248.50/oz",2
2017-03-07,gold prices settle at lowest in nearly two months,2
2017-03-07,gold prices mark lowest settlement in nearly two months,2
2017-03-07,"august gold drops $23.10, or 1.9%, to settle at $1,219.20/oz",2
2017-03-07,gold marks lowest finish in nearly 8 weeks,2
2017-03-07,"august gold drops $23.10, or 1.9%, to settle at $1,219.20/oz",2
2017-03-07,dhanteras in june for gold trade,1
2017-03-07,"gold hits 7-week low as dollar firms, treasury yields climb",2
2017-03-08,gold posts back-to-back loss as jobs report looms,2
2017-03-08,current gold price: track current gold rate trends and news,1
2017-03-08,gold settles lower for 2nd day ahead of jobs report,2
2017-03-08,expect gold to trade negative: sushil finance,2
2017-03-08,gold deepens pullback from 7-week highs; u.s. payrolls data awaited,2
2017-03-08,"gold, silver slip on weak global demand",2
2017-03-08,gold drifts further away from 7-week highs as dollar firms,2
2017-03-08,gold holds loss after jobless-claims report,2
2017-03-08,"december gold off at 0.3% at $1,274.70/oz.",2
2017-03-08,gold prices drift further away from 7-week highs as dollar firms,2
2017-03-08,"gold falls to rs 29,430; silver down at rs 38,700 per kg",2
2017-03-08,"gold settles down $4, or 0.3%, at $1,274.40 an ounce",2
2017-03-08,"august gold off 0.4% at $1,273/oz.",2
2017-03-08,"gold, silver slip on weak global demand",2
2017-03-08,"december gold off at 0.3% at $1,274.70/oz.",2
2017-03-08,gold demand up 37% in q2 as jewellers stock up ahead of gst,1
2017-03-08,gold maintains loss after ism services report,2
2017-03-09,flight to safety lifts gold prices to 11-month high; what's next,0
2017-03-10,"looking to buy gold this diwali? prices may fall towards rs 29,000 in short term",2
2017-03-10,gold falls to 7-week low as dollar firms,2
2017-03-10,gold prices log third straight decline,2
2017-03-10,"dec. gold falls $1.20, or less than 0.1%, to $1,274.60/oz",2
2017-03-10,gold falls to 7-week low as rate hike expectations rise,2
2017-03-10,"gold, silver slip in morning trade",2
2017-03-11,gold prices to trade lower: angel commodities,2
2017-03-11,"gold prices end at a nearly 3-month low, down 0.2% for the week",2
2017-03-11,"equities' appeal pushes gold prices down to rs 30,250",2
2017-03-11,"dec. gold trades down $1.90, or 0.2%, at $1,276.20/oz",2
2017-03-11,gold ends at a nearly three-month low as dollar index strengthens,2
2017-03-11,gold turns positive after october jobs report comes in weaker than expected,0
2017-03-11,gold little changed amid steady dollar ahead of us jobs report,1
2017-03-11,"dec. gold declines by $8.90, or 0.7%, to settle at $1,269.20/oz",2
2017-03-11,gold prices continue to edge lower after ism services report,2
2017-03-11,gold settles at a nearly three-month low,2
2017-03-11,"december gold rises 0.1% at $1,279.40/oz.",0
2017-03-11,bitcoin may be staging the biggest challenge yet to gold and silver,1
2017-03-11,gold turns positive after october jobs report comes in weaker than expected,0
2017-03-11,gold little changed amid steady dollar ahead of us jobs report,1
2017-03-13,gold loan cos set to lose sheen on rbi regulation,2
2017-03-13,gold settles higher to end streak of losses,0
2017-03-13,"april gold gains $1.70, or 0.1%, to settle at $1,203.10/oz",0
2017-03-13,"gold prices end streak of losses, finish higher for the session",0
2017-03-14,gold stays close to 6-week low as investors await fed outcome,2
2017-03-14,gold to trade in 28084-28504 range: achiievers equities,1
2017-03-14,investors withdraw rs 695 cr from gold etfs in april-feb,1
2017-03-14,"april gold settles at $1,202.60/oz, down 50 cents, or less than 0.1%",2
2017-03-14,"gold ends with a loss, clings to $1,200 ahead of fed decision",2
2017-03-14,"gold futures down at rs 28,308 per 10 gm",2
2017-03-14,"gold slips, but holds ground above $1,200 ahead of fed interest-rate decision",2
2017-03-15,gold climbs in electronic trading after fed decision to raise interest rates,0
2017-03-15,"gold loses rs 250 on us rate hike chances, now at 2-month low",2
2017-03-15,"april gold at $1,211.30/oz in electronic trade, up from $1,200.70 settlement",0
2017-03-15,why the fed interest-rate hike fueled a rally in gold,1
2017-03-15,gold futures finish lower ahead of fed interest-rate decision,2
2017-03-15,"gold slides below $1,200 as markets await fed rate message",2
2017-03-15,"gold settles lower, then climbs after fed decision to raise interest rates",0
2017-03-15,"april gold off $4, or 0.3%, at $1,198.60/oz.",2
2017-03-15,"prices for gold climb, oil gains more ground after fed's interest-rate decision",0
